@relation cepstral_vec_all.txt-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute ' sex' {' female',' male'}
@attribute ' dim1' numeric
@attribute ' dim2' numeric
@attribute ' dim3' numeric
@attribute ' dim4' numeric
@attribute ' dim5' numeric
@attribute ' dim6' numeric
@attribute ' dim7' numeric
@attribute ' dim8' numeric
@attribute ' dim9' numeric
@attribute ' dim10' numeric
@attribute ' dim11' numeric
@attribute ' dim12' numeric
@attribute ' dim13' numeric

@data
' female',98.925525,-11.363871,13.739384,-1.419344,-14.136802,-4.201055,-11.455691,-11.308966,-2.354748,-19.232857,-8.233643,-16.352807,-14.483294
' female',102.57145,-12.586974,14.897275,-1.556789,-13.168949,-1.984946,-11.702208,-12.986037,2.184525,-9.201958,-0.387787,-12.532871,-11.393778
' female',99.192035,-8.813183,17.926177,0.965258,-11.371624,-2.219273,-10.385091,-11.801184,-3.244587,-12.636473,-1.027939,-8.775355,-7.99917
' female',98.257795,-14.105317,12.208148,0.384638,-13.231492,-3.536569,-14.235734,-17.302718,-6.197988,-14.477629,-8.219498,-8.303165,1.119948
' female',104.35682,-9.909787,-0.64413,-7.359986,-11.465183,-11.183891,-1.303636,1.542369,-7.852346,-0.224743,-8.126119,-17.464692,-15.331348
' female',110.721319,-9.467171,3.400779,-0.457322,-12.497351,-11.928356,-2.956368,-3.531328,-8.974489,1.786129,-8.105354,-13.201823,0.619273
' female',104.954872,-10.694638,-2.375406,-8.272237,-10.927388,-10.184487,-0.4689,2.323925,-11.786229,-2.638181,-12.633139,-24.282827,-5.044379
' female',107.334403,-10.72293,0.805716,-5.809242,-13.339167,-10.940852,-2.720342,-1.568732,-6.343198,0.938003,-9.415971,-17.2274,-9.168817
' female',108.625352,-11.114762,1.205088,-5.704527,-17.105688,-11.890989,-1.007423,-3.556744,-6.360179,6.686933,-2.577666,-7.357103,1.554821
' female',95.785645,0.156526,1.977256,-26.029331,-2.579357,-1.927814,-7.778043,-0.070652,-10.796902,3.233117,-12.209641,-3.356576,-22.652472
' female',99.208344,4.384138,3.602954,-22.103537,1.801116,-3.070326,-8.814174,-4.26285,-16.181029,1.26132,-7.226294,1.524406,-12.915685
' female',94.814399,0.27285,0.319571,-26.277279,-1.776251,-2.443678,-6.367252,1.593315,-10.582145,5.588606,-10.294084,-6.402549,-27.05148
' female',97.422264,0.680279,3.118193,-27.736488,-4.935031,-2.997985,-8.510468,0.165595,-9.024587,7.561448,-7.298993,2.424492,-8.608503
